lo_id,hi_id,lo_wins,hi_wins
101439,102783,0,1
101441,102911,0,1
101441,103264,0,1
101441,103564,0,1
101441,104753,0,1
101441,108944,1,0
101459,102910,0,1
101463,102422,0,1
101463,102446,0,1
101463,103758,0,1
101468,101549,0,1
101481,102655,0,1
101481,103133,0,1
101481,103165,0,1
101481,103350,0,1
101492,102382,0,1
101492,104847,0,1
101495,102135,1,0
101495,102548,1,0
101495,103900,0,1
101495,105180,0,1
101495,105419,1,0
101495,105902,0,1
101495,105911,1,0
101495,106057,1,0
101495,106262,1,0
101495,106264,0,1
101495,106292,0,1
101495,106380,0,1
101495,106410,0,1
101495,106426,0,1
101495,110618,1,1
101495,117359,1,0
101495,123921,1,0
101495,123961,0,1
101495,126663,1,1
101495,133872,0,1
101495,134457,1,0
101495,200008,0,1
101495,200331,0,1
101495,200452,2,0
101495,200495,1,0
101495,200598,1,0
101495,202199,0,1
101495,202271,1,1
101495,206307,1,0
101495,207130,0,2
101495,207202,1,0
101495,207407,0,1
101495,207595,1,0
101495,207799,0,1
101495,208025,0,1
101495,208342,0,1
101495,208372,0,1
101495,208411,1,0
101495,208649,1,0
101495,208854,1,0
101495,208908,1,0
101495,208913,0,3
101495,209088,1,0
101495,209131,1,0
101495,209226,1,0
101495,209259,0,1
101495,209337,1,0
101495,209405,0,1
101495,209518,0,1
101495,209860,0,1
101495,209898,0,1
101495,209983,1,0
101495,210044,1,0
101495,210202,0,1
101495,211635,1,0
101495,211662,1,0
101495,213784,1,0
101532,101611,0,1
101532,101717,0,1
101532,101723,1,0
101532,101736,2,1
101532,101792,0,1
101532,101885,0,1
101532,101897,1,1
101532,101947,1,0
101532,101948,0,1
101532,101962,1,1
101532,101964,2,1
101532,101965,0,1
101532,102021,0,2
101532,102024,1,0
101532,102025,0,1
101532,102135,0,1
101532,102148,1,2
101532,102158,0,1
101532,102184,1,0
101532,102231,0,1
101532,102238,1,0
101532,102257,1,1
101532,102259,0,1
101532,102271,1,1
101532,102318,0,2
101532,102338,2,2
101532,102358,1,2
101532,102369,0,1
101532,102374,1,0
101532,102375,0,1
101532,102381,1,0
101532,102437,0,1
101532,102494,1,0
101532,102506,1,0
101532,102539,0,1
101532,102562,0,2
101532,102563,0,1
101532,102571,0,1
101532,102610,1,2
101532,102652,0,1
101532,102701,0,1
101532,102703,1,1
101532,102722,2,0
101532,102765,1,1
101532,102768,0,1
101532,102776,1,0
101532,102783,1,2
101532,102796,1,0
101532,102831,2,0
101532,102834,0,1
101532,102839,2,0
101532,102845,0,2
101532,102851,1,0
101532,102856,1,0
101532,102860,0,1
101532,102882,0,1
101532,102905,1,0
101532,102934,0,1
101532,102950,0,1
101532,102965,1,0
101532,102998,2,1
101532,102999,0,1
101532,103082,1,0
101532,103084,2,2
101532,103103,1,3
101532,103105,0,1
101532,103114,1,0
101532,103151,1,0
101532,103166,1,0
101532,103178,0,1
101532,103188,1,0
101532,103193,1,0
101532,103206,1,2
101532,103248,0,1
101532,103252,2,0
101532,103264,0,1
101532,103285,0,1
101532,103292,0,2
101532,103305,0,1
101532,103344,1,0
101532,103356,0,2
101532,103403,1,0
101532,103428,3,1
101532,103451,1,0
101532,103454,3,1
101532,103498,0,1
101532,103507,0,2
101532,103602,1,0
101532,103642,1,0
101532,103656,1,0
101532,103672,0,1
101532,103720,2,2
101532,103758,1,1
101532,103799,1,0
101532,103808,1,0
101532,103819,1,0
101532,103828,1,0
101532,103900,0,3
101532,103908,0,1
101532,103909,0,1
101532,103917,0,1
101532,104019,0,1
101532,104022,1,1
101543,101611,0,1
101543,101647,0,1
101543,101727,0,1
101543,101735,0,1
101543,101772,0,1
101543,101843,1,1
101543,101889,0,1
101543,101990,0,1
101543,101997,0,1
101543,102035,1,1
101543,102104,1,0
101543,102306,1,0
101543,102338,0,1
101543,102344,0,1
101543,102450,0,1
101543,102539,0,1
101543,102567,0,1
101543,102703,0,1
101543,102760,1,0
101543,102776,0,2
101543,102796,0,1
101543,102834,0,1
101543,102869,0,1
101543,102880,0,1
101543,102882,1,0
101543,102905,0,1
101543,102934,1,0
101543,102965,0,1
101543,102987,1,0
101543,103017,0,1
101543,103063,0,1
101543,103096,0,1
101543,103103,0,1
101543,103151,0,1
101543,103163,0,1
101543,103181,1,0
101543,103202,0,1
101543,103206,1,0
101543,103252,0,1
101543,103292,0,1
101543,103420,1,0
101543,103714,0,1
101543,103720,0,1
101543,103758,0,1
101543,104188,1,0
101543,110513,1,0
101549,101938,1,0
101549,102286,1,0
101549,102369,0,1
101549,102957,0,1
101549,103045,0,1
101549,103566,0,1
101549,103658,0,1
101549,103687,1,0
101549,103781,0,1
101549,104095,0,1
101549,105173,0,1
101551,103564,0,1
101577,110640,0,1
101609,101733,0,1
101609,101889,1,0
101609,101956,0,1
101609,102198,1,0
101609,102263,0,1
101609,102269,1,0
101609,102434,1,0
